Sweeping 200 app_screens from dank-fresh-20260427.db (skip_existing=False, port=9225, out=/Users/mattpacione/declarative-build/audit/sprint-2-station-parity-20260427-205500/dank)
[49/200] screen= 49 DRIFT   t=  1.8s parity=0.92 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[50/200] screen= 50 DRIFT   t=  1.7s parity=0.92 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[51/200] screen= 51 DRIFT   t=  1.2s parity=0.9146341463414634 errs=7 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[52/200] screen= 52 DRIFT   t=  1.1s parity=0.8983050847457628 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[53/200] screen= 53 DRIFT   t=  1.7s parity=0.8933333333333333 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[54/200] screen= 54 DRIFT   t=  1.1s parity=0.8095238095238095 errs=4 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[55/200] screen= 55 DRIFT   t=  1.0s parity=0.76 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[56/200] screen= 56 DRIFT   t=  0.9s parity=0.8095238095238095 errs=4 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[57/200] screen= 57 DRIFT   t=  0.9s parity=0.75 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[58/200] screen= 58 DRIFT   t=  2.0s parity=0.9391304347826087 errs=7 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[59/200] screen= 59 DRIFT   t=  1.0s parity=0.7037037037037037 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[60/200] screen= 60 DRIFT   t=  1.4s parity=0.8518518518518519 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[61/200] screen= 61 DRIFT   t=  1.4s parity=0.8518518518518519 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[62/200] screen= 62 DRIFT   t=  2.0s parity=0.8363636363636363 errs=9 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[63/200] screen= 63 DRIFT   t=  2.4s parity=0.8363636363636363 errs=9 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[64/200] screen= 64 DRIFT   t=  9.9s parity=0.8533333333333334 errs=11 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[65/200] screen= 65 DRIFT   t=  1.0s parity=0.8636363636363636 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[66/200] screen= 66 DRIFT   t=  1.0s parity=0.8636363636363636 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[67/200] screen= 67 DRIFT   t=  1.0s parity=0.8571428571428571 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[68/200] screen= 68 DRIFT   t=  2.0s parity=0.8571428571428571 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[69/200] screen= 69 DRIFT   t=  2.0s parity=0.9240506329113924 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[70/200] screen= 70 DRIFT   t=  2.0s parity=0.935064935064935 errs=5 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[71/200] screen= 71 DRIFT   t=  3.0s parity=0.935064935064935 errs=5 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[72/200] screen= 72 DRIFT   t=  3.0s parity=0.8461538461538461 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[73/200] screen= 73 DRIFT   t=  6.0s parity=0.8181818181818182 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[74/200] screen= 74 DRIFT   t=  7.0s parity=0.8484848484848485 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[75/200] screen= 75 DRIFT   t=  7.0s parity=0.8275862068965517 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[76/200] screen= 76 DRIFT   t=  7.0s parity=0.8780487804878049 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[77/200] screen= 77 DRIFT   t=  7.0s parity=0.8780487804878049 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[78/200] screen= 78 DRIFT   t= 63.0s parity=0.8873239436619719 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[79/200] screen= 79 DRIFT   t=  2.3s parity=0.8850574712643678 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[80/200] screen= 80 DRIFT   t=  5.7s parity=0.8888888888888888 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[81/200] screen= 81 DRIFT   t=  5.0s parity=0.8571428571428571 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[82/200] screen= 82 DRIFT   t=  4.0s parity=0.8571428571428571 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[83/200] screen= 83 DRIFT   t=  3.0s parity=0.8775510204081632 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[84/200] screen= 84 DRIFT   t=  3.0s parity=0.8421052631578947 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[85/200] screen= 85 DRIFT   t=  2.0s parity=0.75 errs=6 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[86/200] screen= 86 DRIFT   t=  5.0s parity=0.6774193548387096 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[87/200] screen= 87 DRIFT   t=  9.0s parity=0.7714285714285715 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[88/200] screen= 88 DRIFT   t= 46.1s parity=0.7837837837837838 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[89/200] screen= 89 DRIFT   t=149.9s parity=0.8901098901098901 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[90/200] screen= 90 DRIFT   t=  3.5s parity=0.8901098901098901 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[91/200] screen= 91 DRIFT   t=  1.8s parity=0.8275862068965517 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[92/200] screen= 92 DRIFT   t=  9.8s parity=0.8648648648648649 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[93/200] screen= 93 DRIFT   t= 10.0s parity=0.8648648648648649 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[94/200] screen= 94 DRIFT   t=  9.0s parity=0.8113207547169812 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
