scope,rank,anchor_h,offset_h,anchor_v,offset_v,count,pct,cum_pct
ALL,134,scale,0,bottom,non-bucket,18,0.05,98.49
ALL,135,scale,6,scale,6,17,0.04,98.53
ALL,136,scale,10,stretch,0,16,0.04,98.58
ALL,137,scale,1,stretch,0,16,0.04,98.62
ALL,138,center,-72,top,non-bucket,16,0.04,98.66
ALL,139,scale,1,scale,14,15,0.04,98.70
ALL,140,leading,12,bottom,non-bucket,15,0.04,98.74
ALL,141,leading,non-bucket,bottom,6,15,0.04,98.78
ALL,142,leading,-1,top,2,14,0.04,98.82
ALL,143,scale,2,scale,8,14,0.04,98.85
ALL,144,scale,2,scale,14,14,0.04,98.89
ALL,145,scale,4,stretch,0,13,0.03,98.93
ALL,146,center,non-bucket,center,negative-non-bucket,13,0.03,98.96
ALL,147,scale,0,scale,non-bucket,12,0.03,98.99
ALL,148,scale,non-bucket,bottom,0,12,0.03,99.02
ALL,149,scale,non-bucket,center,0,12,0.03,99.05
ALL,150,scale,non-bucket,center,non-bucket,12,0.03,99.09
ALL,151,trailing,8,bottom,6,12,0.03,99.12
ALL,152,scale,12,scale,12,11,0.03,99.15
ALL,153,leading,8,top,non-bucket,11,0.03,99.18
ALL,154,leading,28,top,non-bucket,10,0.03,99.20
ALL,155,center,1,top,non-bucket,10,0.03,99.23
ALL,156,leading,16,center,0,10,0.03,99.26
ALL,157,stretch,non-bucket,top,8,9,0.02,99.28
ALL,158,stretch,non-bucket,center,0,9,0.02,99.30
ALL,159,stretch,1,bottom,0,9,0.02,99.33
ALL,160,scale,non-bucket,center,negative-non-bucket,9,0.02,99.35
ALL,161,trailing,12,bottom,non-bucket,9,0.02,99.37
ALL,162,scale,8,scale,2,8,0.02,99.40
ALL,163,center,-40,top,non-bucket,8,0.02,99.42
ALL,164,leading,8,bottom,0,7,0.02,99.44
ALL,165,leading,non-bucket,top,0,6,0.02,99.45
ALL,166,trailing,non-bucket,bottom,non-bucket,6,0.02,99.47
ALL,167,scale,32,scale,non-bucket,6,0.02,99.48
ALL,168,scale,0,scale,12,6,0.02,99.50
ALL,169,scale,0,scale,6,6,0.02,99.51
ALL,170,scale,0,center,0,6,0.02,99.53
ALL,171,scale,0,bottom,0,6,0.02,99.55
ALL,172,scale,24,center,-10,6,0.02,99.56
ALL,173,scale,non-bucket,scale,72,5,0.01,99.57
ALL,174,stretch,0,top,non-bucket,5,0.01,99.59
ALL,175,stretch,non-bucket,stretch,non-bucket,5,0.01,99.60
ALL,176,trailing,non-bucket,bottom,negative-non-bucket,5,0.01,99.61
ALL,177,scale,28,scale,non-bucket,4,0.01,99.63
ALL,178,center,1,center,0,4,0.01,99.64
ALL,179,center,negative-non-bucket,center,4,3,0.01,99.64
ALL,180,center,2,center,0,3,0.01,99.65
ALL,181,leading,4,top,non-bucket,3,0.01,99.66
ALL,182,trailing,negative-non-bucket,top,non-bucket,3,0.01,99.67
ALL,183,trailing,negative-non-bucket,center,non-bucket,3,0.01,99.68
ALL,184,trailing,non-bucket,top,non-bucket,3,0.01,99.68
ALL,185,center,1,bottom,non-bucket,3,0.01,99.69
ALL,186,scale,non-bucket,scale,112,3,0.01,99.70
ALL,187,scale,48,scale,non-bucket,3,0.01,99.71
