screen_id,node_id,figma_node_id,node_type,gt_x,gt_y,gt_w,gt_h,rec_x,rec_y,rec_w,rec_h,iou,al_reachable,local_iou,visible
134,7053,I5749:83763;5749:84290;5749:99534;5749:82456;5749:82235,VECTOR,11926.0,14536.0,16.0,16.0,0.0,0.0,16.0,16.0,0.000000,0,0.620253,1
134,7056,I5749:83763;5749:84290;5749:99535;5749:82454;5749:82436,RECTANGLE,12081.0,14538.0,13.0,4.0,0.0,0.0,13.0,4.0,0.000000,0,0.238095,1
134,7060,I5749:83763;5749:84290;5749:99535;5749:82456;5749:82235,VECTOR,12080.0,14536.0,16.0,16.0,0.0,0.0,16.0,16.0,0.000000,0,0.620253,1
134,7063,I5749:83763;5749:84290;5749:99536;5749:82454;5749:82115,VECTOR,12221.0,14538.0,18.0,16.999954223632812,142.0,0.0,18.0,16.999954223632812,0.000000,0,0.714285,1
134,7066,I5749:83763;5749:84290;5749:99536;5749:82456;5749:82235,VECTOR,12222.0,14536.0,16.0,16.0,0.0,0.0,16.0,16.0,0.000000,0,0.620253,1
134,7069,I5749:83763;5749:84290;5749:99537;5749:82454;5749:82289,RECTANGLE,12322.0,14536.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,0,0.000000,0
134,7073,I5749:83763;5749:84290;5749:99537;5749:82456;5749:82235,VECTOR,12325.0,14536.0,16.0,16.0,0.0,0.0,16.0,16.0,0.000000,0,0.620253,1
134,6724,I5749:83677;5749:82241,ELLIPSE,12358.5,14641.5,3.0,3.0,0.0,0.0,3.0,3.0,0.000000,0,0.000000,1
134,7050,I5749:83763;5749:84290;5749:99534;5749:82454;5749:82434,VECTOR,11929.0,14541.0,10.0,10.0,0.0,0.0,10.0,10.0,0.000000,0,0.000000,1
134,7057,I5749:83763;5749:84290;5749:99535;5749:82454;5749:82437,VECTOR,12086.0,14540.0,10.0,14.0,0.0,0.0,10.0,14.0,0.000000,0,0.076923,1
134,7070,I5749:83763;5749:84290;5749:99537;5749:82454;5749:82290,VECTOR,12327.999999046326,14537.99999903835,11.000000953674316,17.0,0.0,0.0,11.000000953674316,17.0,0.000000,0,0.000000,1
134,6725,I5749:83677;5749:82242,ELLIPSE,12364.0,14641.5,3.0,3.0,0.0,0.0,3.0,3.0,0.000000,0,0.000000,1
134,6887,I5749:83723;5749:84392,RECTANGLE,12470.0,15047.5,8.0,8.0,11772.0,15340.0,8.0,8.0,0.000000,0,0.620253,1
134,6894,I5749:83728;5749:84392,RECTANGLE,12564.0,15043.5,16.0,16.0,11865.0,0.0,16.0,16.0,0.000000,0,0.000000,1
134,6901,I5749:83733;5749:84392,RECTANGLE,12658.0,15039.5,24.0,24.0,11958.0,0.0,24.0,24.0,0.000000,0,0.000000,1
134,6908,I5749:83738;5749:84392,RECTANGLE,12752.0,15035.5,32.0,32.0,0.0,0.0,32.0,32.0,0.000000,0,0.000000,1
134,6920,5749:83748,RECTANGLE,12451.0,15191.0,340.0,6.0,11754.0,15392.0,340.0,6.0,0.000000,0,1.000000,1
134,7049,I5749:83763;5749:84290;5749:99534;5749:82454;5749:82433,VECTOR,11925.0,14537.0,18.0,18.0,0.0,0.0,18.0,18.0,0.000000,0,0.000000,1
